Day	Month	Year	DomWater	MakeUpWater	LoopWater	TowerWater	Remainder
3 	 2 	 1997 	 153358 	 2360 	 0 	 0 	 150998
4 	 2 	 1997 	 166581 	 2460 	 0 	 0 	 164121
5 	 2 	 1997 	 179170 	 2380 	 0 	 0 	 176790
6 	 2 	 1997 	 124578 	 2680 	 0 	 0 	 121898
7 	 2 	 1997 	 161832 	 2230 	 0 	 0 	 159602
8 	 2 	 1997 	 141402 	 2270 	 0 	 0 	 139132
9 	 2 	 1997 	 132259 	 2160 	 0 	 0 	 130099
10 	 2 	 1997 	 121805 	 3600 	 0 	 0 	 118205
11 	 2 	 1997 	 148312 	 3710 	 0 	 0 	 144602
12 	 2 	 1997 	 153534 	 3150 	 0 	 0 	 150384
13 	 2 	 1997 	 157360 	 2760 	 0 	 0 	 154600
14 	 2 	 1997 	 161475 	 2840 	 0 	 0 	 158635
15 	 2 	 1997 	 127156 	 2680 	 0 	 0 	 124476
16 	 2 	 1997 	 155348 	 2760 	 0 	 0 	 152588
17 	 2 	 1997 	 179943 	 2220 	 0 	 0 	 177723
18 	 2 	 1997 	 166712 	 2210 	 0 	 0 	 164502
19 	 2 	 1997 	 172099 	 2690 	 0 	 0 	 169409
20 	 2 	 1997 	 151230 	 2090 	 0 	 0 	 149140
21 	 2 	 1997 	 146560 	 2480 	 0 	 0 	 144080
22 	 2 	 1997 	 143156 	 2270 	 0 	 0 	 140886
23 	 2 	 1997 	 154230 	 2440 	 0 	 0 	 151790
24 	 2 	 1997 	 161870 	 2990 	 0 	 0 	 158880
25 	 2 	 1997 	 145780 	 3000 	 0 	 0 	 142780
26 	 2 	 1997 	 158170 	 3460 	 0 	 0 	 154710
27 	 2 	 1997 	 154890 	 2570 	 0 	 0 	 152320
28 	 2 	 1997 	 172951 	 2310 	 0 	 0 	 170641
1 	 3 	 1997 	 121189 	 1950 	 0 	 0 	 119239
2 	 3 	 1997 	 145117 	 2050 	 0 	 0 	 143067
3 	 3 	 1997 	 160332 	 220 	 0 	 0 	 160112
4 	 3 	 1997 	 166244 	 2280 	 0 	 0 	 163964
5 	 3 	 1997 	 148032 	 2750 	 0 	 0 	 145282
6 	 3 	 1997 	 163952 	 2510 	 0 	 0 	 161442
7 	 3 	 1997 	 173767 	 3030 	 0 	 0 	 170737
8 	 3 	 1997 	 100561 	 2400 	 0 	 0 	 98161
9 	 3 	 1997 	 150045 	 1880 	 0 	 0 	 148165
10 	 3 	 1997 	 153180 	 2240 	 0 	 0 	 150940
11 	 3 	 1997 	 174616 	 2970 	 0 	 0 	 171646
12 	 3 	 1997 	 149537 	 2720 	 290 	 0 	 146527
13 	 3 	 1997 	 145189 	 2510 	 0 	 0 	 142679
14 	 3 	 1997 	 151450 	 2890 	 0 	 0 	 148560
15 	 3 	 1997 	 147494 	 2710 	 0 	 0 	 144784
16 	 3 	 1997 	 119831 	 3390 	 0 	 0 	 116441
17 	 3 	 1997 	 167270 	 2360 	 0 	 0 	 164910
18 	 3 	 1997 	 137028 	 2610 	 80 	 0 	 134338
19 	 3 	 1997 	 133234 	 2120 	 0 	 0 	 131114
20 	 3 	 1997 	 84160 	 2110 	 0 	 0 	 82050
21 	 3 	 1997 	 10990 	 1820 	 0 	 0 	 9170
22 	 3 	 1997 	 13893 	 1590 	 0 	 0 	 12303
23 	 3 	 1997 	 50560 	 1810 	 0 	 0 	 48750
24 	 3 	 1997 	 13160 	 1630 	 0 	 0 	 11530
25 	 3 	 1997 	 38140 	 1390 	 0 	 0 	 36750
26 	 3 	 1997 	 65970 	 1540 	 0 	 0 	 64430
27 	 3 	 1997 	 10902 	 1170 	 0 	 0 	 9732
28 	 3 	 1997 	 38863 	 2230 	 0 	 0 	 36633
29 	 3 	 1997 	 17736 	 1720 	 0 	 0 	 16016
30 	 3 	 1997 	 67998 	 1640 	 0 	 0 	 66358
31 	 3 	 1997 	 140137 	 2560 	 0 	 0 	 137577
1 	 4 	 1997 	 143987 	 2090 	 0 	 0 	 141897
2 	 4 	 1997 	 152667 	 1730 	 0 	 0 	 150937
3 	 4 	 1997 	 157034 	 1690 	 0 	 0 	 155344
4 	 4 	 1997 	 153437 	 1740 	 0 	 0 	 151697
5 	 4 	 1997 	 134263 	 1380 	 0 	 0 	 132883
6 	 4 	 1997 	 137812 	 2150 	 0 	 0 	 135662
7 	 4 	 1997 	 153702 	 2660 	 0 	 0 	 151042
8 	 4 	 1997 	 175185 	 2620 	 0 	 0 	 172565
9 	 4 	 1997 	 145622 	 2640 	 0 	 0 	 142982
10 	 4 	 1997 	 159688 	 2290 	 0 	 0 	 157398
11 	 4 	 1997 	 178567 	 2468 	 0 	 0 	 176099
12 	 4 	 1997 	 150516 	 2480 	 0 	 0 	 148036
13 	 4 	 1997 	 107903 	 2190 	 0 	 0 	 105713
14 	 4 	 1997 	 188111 	 2100 	 0 	 0 	 186011
15 	 4 	 1997 	 141984 	 2730 	 0 	 0 	 139254
16 	 4 	 1997 	 175865 	 2450 	 0 	 0 	 173415
17 	 4 	 1997 	 161150 	 2280 	 0 	 0 	 158870
18 	 4 	 1997 	 163470 	 1560 	 0 	 0 	 161910
19 	 4 	 1997 	 139010 	 1080 	 0 	 0 	 137930
20 	 4 	 1997 	 145140 	 1770 	 0 	 0 	 143370
21 	 4 	 1997 	 184851 	 1030 	 0 	 0 	 183821
22 	 4 	 1997 	 151570 	 1660 	 0 	 0 	 149910
23 	 4 	 1997 	 156600 	 1730 	 0 	 0 	 154870
24 	 4 	 1997 	 222330 	 1610 	 0 	 0 	 220720
25 	 4 	 1997 	 159204 	 1760 	 0 	 810 	 156634
26 	 4 	 1997 	 146929 	 1310 	 0 	 0 	 145619
27 	 4 	 1997 	 140167 	 1290 	 0 	 0 	 138877
28 	 4 	 1997 	 194465 	 1040 	 130 	 0 	 193295
29 	 4 	 1997 	 155820 	 1050 	 1290 	 5710 	 147770
30 	 4 	 1997 	 167511 	 1460 	 0 	 8240 	 157811
1 	 5 	 1997 	 179981 	 1380 	 0 	 8130 	 170471
2 	 5 	 1997 	 154652 	 1200 	 30 	 4030 	 149392
