Key            Name:Suffix                                Trend Definitions Used		BuildingName																
Point_1:	BURTON.YEST.STEAM.CONSUMP	Burton Hall																
Point_2:	COWLING.YEST.STEAM.CONSUMP	Cowling Recreation Center																
Point_3:	DAVIS.YEST.STEAM.CONSUMP	Davis Hall																
Point_4:	EVANS.YEST.STEAM.CONSUMP	Evans Hall																
Point_5:	GOODHUE.YEST.STEAM.CONSUMP	Goodhue Hall																
Point_6:	HULINGS.YEST.STEAM.CONSUMP	Hulings Hall																
Point_7:	LIBRARY.YEST.STEAM.CONSUMP	Gould Memorial Library																
Point_8:	MUDD.YEST.STEAM.CONSUMP	Mudd Hall of Science																
Point_9:	MUSSER.YEST.STEAM.CONSUMP	Musser Hall																
Point_10:	MYERS.YEST.STEAM.CONSUMP	Myers Hall																
Point_11:	NOURSE.YEST.STEAM.CONSUMP	Nourse Hall																
Point_12:	OLIN.YEST.STEAM.CONSUMP	Olin Hall of Science																
Point_13:	SAYLES.YEST.STEAM.CONSUMP	Sayles-Hill Campus Center																
Point_14:	SEVY.YEST.STEAM.CONSUMP	Severance Hall																
Point_15:	STHS.YEST.STEAM.CONSUMP	Student Houses																
Point_16:	WATSON.YEST.STEAM.CONSUMP	Watson Hall																
Point_17:	WEST.GYM.YEST.STEAM.CONSUMP	West Gymnasium																
Time Interval:	1 Days																	
Date Range:	7/1/2009 00:00:00 - 11/18/2011 23:59:59																	
Report Timings:	All Hours																	
																		
<>Date	Time	Point_1	Point_2	Point_3	Point_4	Point_5	Point_6	Point_7	Point_8	Point_9	Point_10	Point_11	Point_12	Point_13	Point_14	Point_15	Point_16	Point_17
8/6/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	43.92	No Data	No Data	10105.68
8/7/09	0:00:00	0	No Data	No Data	No Data	263.93	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	43.92	No Data	No Data	12732.65
8/8/09	0:00:00	0	No Data	No Data	No Data	142.42	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	43.92	No Data	No Data	12732.65
8/9/09	0:00:00	0	No Data	No Data	No Data	-38.67	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	43.92	No Data	No Data	383.65
8/10/09	0:00:00	0	No Data	No Data	No Data	-38.67	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	43.92	No Data	No Data	-25.94
8/11/09	0:00:00	0	No Data	No Data	No Data	-38.67	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	43.92	No Data	No Data	-25.94
8/12/09	0:00:00	0	No Data	No Data	No Data	-38.67	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	43.92	No Data	No Data	-25.94
8/13/09	0:00:00	0	No Data	No Data	No Data	2255.65	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	948.7	No Data	No Data	15575.09
8/14/09	0:00:00	0	No Data	No Data	No Data	796.23	No Data	52.23	No Data	No Data	No Data	26.13	0	6.39	29.92	No Data	No Data	15575.09
8/15/09	0:00:00	0	No Data	No Data	No Data	296.54	No Data	52.23	No Data	No Data	No Data	26.13	11.35	6.39	29.92	No Data	No Data	9100.85
